iter	Passed	Remaining
0	7	141
1	12	113
2	18	105
3	24	96
4	29	88
5	34	80
6	40	74
7	45	68
8	50	61
9	56	56
10	62	51
11	68	45
12	74	40
13	80	34
14	86	28
15	92	23
16	99	17
17	105	11
18	111	5
19	120	0
